category,indicator,year,value,unit,interpretation,source_note
Access,Children age 6-14 enrolled in government schools,2024,68.7,percent,"Access story: most rural Tamil Nadu children remain inside the schooling system, with a large government-school footprint.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 1"
Access,Children age 6-14 not in school,2024,0.1,percent,"Success signal: exclusion from school is very low among children aged 6-14 in rural Tamil Nadu.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 1"
Learning,Std III children who can read Std II level text,2024,12.0,percent,"Warning signal: foundational reading remains weak despite broad access.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 4 and Table 5"
Learning,Std V children who can read Std II level text,2024,35.6,percent,"Warning signal: by Std V, only about one-third can read Std II level text.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 4 and Table 6"
Learning,Std VIII children who can read Std II level text,2024,64.2,percent,"Mixed signal: recovery is visible at higher grades, but universal basic reading is still not achieved.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 4 and Table 6"
Learning,Std III government-school children who can read Std II level text,2024,13.2,percent,"Government-school reading is still low at the foundational stage.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 5"
Learning,Std III private-school children who can read Std II level text,2024,9.4,percent,"Private-school advantage is not automatic at Std III reading in the ASER Tamil Nadu rural sample.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 5"
Learning,Std V government-school children who can read Std II level text,2024,37.0,percent,"Government-school Std V reading recovered from 2022 but remains below 2014-2018 levels.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 6"
Learning,Std V private-school children who can read Std II level text,2024,32.3,percent,"Private-school Std V reading also remains below pre-pandemic levels.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 6"
Facilities,Mid-day meal served on survey day,2024,99.2,percent,"Delivery success: school welfare infrastructure is highly present.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 20"
Facilities,Kitchen or shed for cooking mid-day meal,2024,96.6,percent,"Delivery success: mid-day meal infrastructure is widely available.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 20"
Facilities,Drinking water available,2024,77.7,percent,"Infrastructure gap: water availability is not universal.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 20"
Facilities,Usable toilet,2024,81.4,percent,"Infrastructure gap: toilet usability is strong but still incomplete.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 20"
Facilities,Separate girls toilet unlocked and usable,2024,77.5,percent,"Gender-infrastructure gap: provision exists, but usability still leaves room to improve.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 20"
Facilities,Library books being used by children,2024,64.3,percent,"Learning environment signal: libraries exist in many schools, but classroom use can deepen.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 20"
Facilities,Computer being used by children on survey day,2024,28.5,percent,"Digital-learning gap: hardware availability does not automatically become classroom use.","ASER 2024 Final Report, Tamil Nadu Rural state profile, Table 20"
